title,url,description,category
"ACM Digital Government - Generative AI Literacy: Twelve Defining Competencies",https://dl.acm.org/doi/10.1145/3685680,"Competency-based model for generative AI literacy covering essential skills from foundational understanding to ethical considerations. Emphasises that understanding how AI will be employed by government personnel is essential for addressing implications of AI adoption in public sector and shaping future governance models, offering framework for policymakers to integrate AI literacy into policies.","AI Literacy"
"Education for AI, Not AI for Education",https://link.springer.com/article/10.1007/s40593-021-00270-2,"Thematic analysis of 24 national AI policy strategies examining role of education in global AI discourse. Finds that policymakers prioritise educating public about AI to increase awareness, engagement in policy discourse, public trust, and setting stage for stronger workforce, demonstrating instrumental value of AI literacy for governance.","AI Literacy"
"ODI - Understanding Data Ethics and AI",https://learning.theodi.org/courses/understanding-data-ethics-and-ai-self-paced,"Interactive online course based on decade of research working with data-intensive organisations including Barclays and UK Government. Features accessible, non-technical content examining data ethics across lifecycle, investigating bias and fairness in AI, and learning to embed ethics through tools, processes, and skills development.","AI Literacy"
"ODI - Designing a Framework for Responsible Data Stewardship",https://theodi.org/article/framework-for-responsible-data-stewardship/,"Foundational work developing framework showing what stewarding data responsibly entails, providing critical lens to analyse and compare data stewardship practices. Emphasises that stewardship involves making important decisions about who has access to data, for what purposes, and to whose benefit, requiring participatory and rights-preserving approaches.","Ethics Councils and Participatory Governance"
"Political Machines: The Rise of Automated Governance",https://theglobalobservatory.org/2025/03/political-machines-the-rise-of-automated-governance-and-the-global-challenge-to-citizens-rights/,"Critical analysis of AI systems in government decision-making and need for democratic oversight. Highlights emerging accountability mechanisms including Finland's AI Registry (publicly documenting government AI systems and inviting citizen feedback) and frameworks for meaningful human oversight being piloted by UK government agencies.","Ethics Councils and Participatory Governance"
"Citizen’s panel on AI issues",https://europeanunion.diplomatie.belgium.be/en/citizens-panel-ai-issues,"Deliberative democracy initiative convening 60 randomly selected Belgian citizens over three weekends (February-April 2024) to develop a citizens' vision on AI development and governance at the European level. The panel produced nine key recommendations emphasising responsible, ambitious and beneficial AI that serves all citizens. Focused on human-centric AI integration, addressing concerns about job displacement, education adaptation, transparency, and the need for European leadership on global AI ethics.","Ethics Councils and Participatory Governance"
"Progress and Recommendations in Data Ethics Governance",https://www.nature.com/articles/s41599-025-05664-4,"Transnational analysis of data ethics frameworks from ten leading countries and alliances, examining how cross-departmental teams, advisory groups, roundtable discussions, and public consultations integrate diverse disciplinary perspectives. Recommends establishing deliberative mechanisms for adjudicating stakeholder disagreements and creating independent oversight bodies with enforceable mandates.","Ethics Councils and Participatory Governance"
"AI4D Africa Network",https://www.gpekix.org/blog/commitment-action-advancing-use-ai-education-africa-through-regional-collaboration-and,"Regional knowledge exchange initiative facilitating cross-country collaboration on responsible AI policies in Africa. Demonstrates how communities of practice enable peer learning through seminars bringing together government representatives, supported by frameworks like the African Union's Continental AI Strategy.","Communities of Practice and Knowledge Networks"
"Community of Practice on Artificial Intelligence",https://www.unescap.org/projects/copai,"Collaborative platform engaging policymakers, academics, entrepreneurs, and students in co-creating impactful outcomes for AI research and innovation. Employs inclusive approach through landscape studies, facilitating priority initiatives, and promoting regional synergy with ASEAN and global research networks.","Communities of Practice and Knowledge Networks"
"An Equitable Community of Practice Framework for AI in Global Health",https://human-resources-health.biomedcentral.com/articles/10.1186/s12960-023-00833-5,"Framework addressing five structural pillars for sustainable communities: governance, project management, partnership, stakeholder engagement, and outreach. Proposes seven components including interdisciplinary working groups, stakeholder exchanges, annual events, and monthly webinars ensuring diverse voices contribute to peer-to-peer learning.","Communities of Practice and Knowledge Networks"
"ODI - Data Ethics Professionals Network",https://theodi.org/insights/projects/data-ethics-professionals/,"Network of ODI alumni sharing expertise on ethical data use and embedding best practices within organisations. Features case studies from organisations developing AI policies and governance frameworks, providing practical insights from implementing data ethics at scale across sectors including government, financial services, and technology.","Communities of Practice and Knowledge Networks"
